"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2001","56.10","58.25","61.70","54.10","87.23K","-1.84%"
"05/01/2001","57.15","62.25","66.80","57.10","46.95K","-7.60%"
"04/01/2001","61.85","60.00","62.50","56.00","80.38K","2.57%"
"03/01/2001","60.30","63.75","66.80","58.85","37.20K","-5.63%"
"02/01/2001","63.90","64.00","65.50","59.25","80.92K","0.24%"
"01/01/2001","63.75","65.10","72.50","62.00","130.75K","-2.75%"
"12/01/2000","65.55","68.20","69.00","61.75","31.26K","-2.46%"
"11/01/2000","67.20","75.00","75.95","67.15","79.34K","-9.68%"
"10/01/2000","74.40","81.00","91.00","73.35","121.34K","-10.36%"
"09/01/2000","83.00","75.50","84.40","72.20","45.39K","11.41%"
"08/01/2000","74.50","86.50","87.75","73.50","75.82K","-13.82%"
"07/01/2000","86.45","84.75","119.00","79.75","47.77K","1.89%"
"06/01/2000","84.85","93.05","97.25","84.00","98.08K","-8.76%"
"05/01/2000","93.00","96.00","104.70","90.35","62.77K","-2.41%"
"04/01/2000","95.30","103.10","103.70","91.95","96.50K","-8.10%"
"03/01/2000","103.70","101.25","109.00","100.25","39.10K","3.80%"
"02/01/2000","99.90","110.50","114.50","98.00","93.74K","-10.08%"
"01/01/2000","111.10","122.25","126.00","110.50","120.09K","-11.76%"
"12/01/1999","125.90","130.00","145.00","115.35","44.89K","-3.41%"
"11/01/1999","130.35","105.00","130.25","101.80","83.44K","30.09%"
"10/01/1999","100.20","80.00","120.00","80.00","185.24K","21.53%"
"09/01/1999","82.45","87.00","93.00","80.15","45.40K","-4.41%"
"08/01/1999","86.25","90.40","102.00","84.00","98.20K","-5.32%"
"07/01/1999","91.10","101.25","101.70","90.50","50.75K","-10.16%"
"06/01/1999","101.40","118.75","125.00","98.80","98.87K","-16.61%"
"05/01/1999","121.60","103.30","127.00","101.00","87.65K","17.15%"
"04/01/1999","103.80","110.00","110.50","95.50","78.46K","-5.38%"
"03/01/1999","109.70","104.00","113.35","99.50","86.46K","6.82%"
"02/01/1999","102.70","106.00","109.00","100.75","80.26K","-1.15%"
"01/01/1999","103.90","116.50","125.00","102.25","149.24K","-11.76%"
"12/01/1998","117.75","112.25","120.50","111.00","31.26K","4.85%"
"11/01/1998","112.30","112.00","129.25","108.00","89.08K","2.09%"
"10/01/1998","110.00","104.50","112.50","99.50","127.03K","4.61%"
"09/01/1998","105.15","120.00","123.00","98.75","45.70K","-13.10%"
"08/01/1998","121.00","128.10","137.40","110.00","75.31K","-6.35%"
"07/01/1998","129.20","110.25","129.50","107.50","61.41K","16.13%"
"06/01/1998","111.25","130.50","131.00","109.50","72.85K","-16.04%"
"05/01/1998","132.50","134.25","138.00","123.00","49.57K","-1.49%"
"04/01/1998","134.50","145.75","156.50","132.25","74.79K","-8.03%"
"03/01/1998","146.25","166.00","166.00","139.25","41.05K","-11.79%"
"02/01/1998","165.80","175.50","183.00","163.00","77.68K","-5.09%"
"01/01/1998","174.70","161.90","183.50","156.00","114.81K","7.54%"
